RegioS,NettoArbeidsparticipatie_16,Perioden
GM1959,74.4,2021JJ00
GM1959,74.9,2022JJ00
GM1959,75.6,2023JJ00
GM0060,66.5,2013JJ00
GM0060,66.6,2014JJ00
GM0060,67.2,2015JJ00
GM0060,67.6,2016JJ00
GM0060,68.8,2017JJ00
GM0060,70.1,2018JJ00
GM0060,71.3,2019JJ00
GM0060,70.8,2020JJ00
GM0060,71.4,2021JJ00
GM0060,73.4,2022JJ00
GM0060,74.6,2023JJ00
GM0307,71.0,2013JJ00
GM0307,70.3,2014JJ00
GM0307,70.5,2015JJ00
GM0307,71.4,2016JJ00
GM0307,71.8,2017JJ00
GM0307,73.4,2018JJ00
GM0307,74.3,2019JJ00
GM0307,73.8,2020JJ00
GM0307,73.3,2021JJ00
GM0307,75.9,2022JJ00
GM0307,76.4,2023JJ00
GM0362,66.7,2013JJ00
GM0362,66.8,2014JJ00
GM0362,67.7,2015JJ00
GM0362,69.0,2016JJ00
GM0362,69.3,2017JJ00
GM0362,70.0,2018JJ00
GM0362,71.1,2019JJ00
GM0362,70.5,2020JJ00
GM0362,69.9,2021JJ00
GM0362,72.4,2022JJ00
GM0362,73.8,2023JJ00
GM0363,66.6,2013JJ00
GM0363,66.7,2014JJ00
GM0363,67.2,2015JJ00
GM0363,69.0,2016JJ00
GM0363,68.7,2017JJ00
GM0363,69.5,2018JJ00
GM0363,70.5,2019JJ00
GM0363,69.8,2020JJ00
GM0363,68.9,2021JJ00
GM0363,72.8,2022JJ00
GM0363,72.9,2023JJ00
GM0200,68.3,2013JJ00
GM0200,66.7,2014JJ00
GM0200,66.7,2015JJ00
GM0200,66.9,2016JJ00
GM0200,68.6,2017JJ00
GM0200,68.6,2018JJ00
GM0200,69.8,2019JJ00
GM0200,69.7,2020JJ00
GM0200,69.8,2021JJ00
GM0200,72.0,2022JJ00
GM0200,73.8,2023JJ00
GM0202,66.6,2013JJ00
GM0202,64.3,2014JJ00
GM0202,64.8,2015JJ00
GM0202,65.7,2016JJ00
GM0202,66.6,2017JJ00
GM0202,67.8,2018JJ00
GM0202,67.6,2019JJ00
GM0202,69.0,2020JJ00
GM0202,68.3,2021JJ00
GM0202,71.3,2022JJ00
GM0202,72.5,2023JJ00
GM0106,67.2,2013JJ00
GM0106,67.5,2014JJ00
