RegioS,JongerDan20Jaar_9,Perioden
PV26  ,64.0,2017JJ00
PV26  ,52.0,2018JJ00
PV26  ,50.0,2019JJ00
PV26  ,47.0,2020JJ00
PV26  ,40.0,2021JJ00
PV26  ,32.0,2022JJ00
PV26  ,31.0,2023JJ00
PV27  ,546.0,1988JJ00
PV27  ,563.0,1989JJ00
PV27  ,561.0,1990JJ00
PV27  ,566.0,1991JJ00
PV27  ,496.0,1992JJ00
PV27  ,474.0,1993JJ00
PV27  ,434.0,1994JJ00
PV27  ,293.0,1995JJ00
PV27  ,304.0,1996JJ00
PV27  ,359.0,1997JJ00
PV27  ,345.0,1998JJ00
PV27  ,380.0,1999JJ00
PV27  ,404.0,2000JJ00
PV27  ,392.0,2001JJ00
PV27  ,411.0,2002JJ00
PV27  ,355.0,2003JJ00
PV27  ,354.0,2004JJ00
PV27  ,320.0,2005JJ00
PV27  ,290.0,2006JJ00
PV27  ,286.0,2007JJ00
PV27  ,278.0,2008JJ00
PV27  ,309.0,2009JJ00
PV27  ,266.0,2010JJ00
PV27  ,228.0,2011JJ00
PV27  ,232.0,2012JJ00
PV27  ,197.0,2013JJ00
PV27  ,189.0,2014JJ00
PV27  ,146.0,2015JJ00
PV27  ,151.0,2016JJ00
PV27  ,127.0,2017JJ00
PV27  ,138.0,2018JJ00
PV27  ,142.0,2019JJ00
PV27  ,128.0,2020JJ00
PV27  ,94.0,2021JJ00
PV27  ,122.0,2022JJ00
PV27  ,100.0,2023JJ00
PV28  ,907.0,1988JJ00
PV28  ,917.0,1989JJ00
PV28  ,952.0,1990JJ00
PV28  ,911.0,1991JJ00
PV28  ,783.0,1992JJ00
PV28  ,737.0,1993JJ00
PV28  ,641.0,1994JJ00
PV28  ,565.0,1995JJ00
PV28  ,524.0,1996JJ00
PV28  ,580.0,1997JJ00
PV28  ,597.0,1998JJ00
PV28  ,685.0,1999JJ00
PV28  ,749.0,2000JJ00
PV28  ,797.0,2001JJ00
PV28  ,732.0,2002JJ00
PV28  ,703.0,2003JJ00
PV28  ,630.0,2004JJ00
PV28  ,530.0,2005JJ00
PV28  ,507.0,2006JJ00
PV28  ,487.0,2007JJ00
PV28  ,550.0,2008JJ00
PV28  ,502.0,2009JJ00
PV28  ,496.0,2010JJ00
PV28  ,481.0,2011JJ00
PV28  ,438.0,2012JJ00
PV28  ,347.0,2013JJ00
PV28  ,340.0,2014JJ00
PV28  ,289.0,2015JJ00
PV28  ,253.0,2016JJ00
PV28  ,302.0,2017JJ00
PV28  ,272.0,2018JJ00
PV28  ,254.0,2019JJ00
PV28  ,254.0,2020JJ00
PV28  ,209.0,2021JJ00
PV28  ,221.0,2022JJ00
PV28  ,202.0,2023JJ00
PV29  ,54.0,1988JJ00
PV29  ,54.0,1989JJ00
PV29  ,58.0,1990JJ00
PV29  ,67.0,1991JJ00
PV29  ,56.0,1992JJ00
PV29  ,51.0,1993JJ00
PV29  ,42.0,1994JJ00
PV29  ,48.0,1995JJ00
PV29  ,36.0,1996JJ00
PV29  ,42.0,1997JJ00
PV29  ,36.0,1998JJ00
PV29  ,49.0,1999JJ00
PV29  ,49.0,2000JJ00
PV29  ,54.0,2001JJ00
PV29  ,49.0,2002JJ00
PV29  ,62.0,2003JJ00
PV29  ,48.0,2004JJ00
PV29  ,49.0,2005JJ00
PV29  ,38.0,2006JJ00
PV29  ,42.0,2007JJ00
PV29  ,41.0,2008JJ00
PV29  ,50.0,2009JJ00
PV29  ,35.0,2010JJ00
PV29  ,53.0,2011JJ00
PV29  ,36.0,2012JJ00
PV29  ,34.0,2013JJ00
PV29  ,33.0,2014JJ00
PV29  ,42.0,2015JJ00
