Regiokenmerken,LeerlingenStudenten_1,Perioden
CR36   ,61280.0,2018SJ00
CR36   ,61350.0,2019SJ00
CR36   ,60850.0,2020SJ00
CR36   ,60410.0,2021SJ00
CR36   ,60650.0,2022SJ00
CR36   ,60560.0,2023SJ00
CR37   ,25370.0,2011SJ00
CR37   ,24680.0,2012SJ00
CR37   ,24020.0,2013SJ00
CR37   ,23170.0,2014SJ00
CR37   ,22680.0,2015SJ00
CR37   ,22220.0,2016SJ00
CR37   ,21750.0,2017SJ00
CR37   ,21360.0,2018SJ00
CR37   ,20870.0,2019SJ00
CR37   ,20510.0,2020SJ00
CR37   ,20150.0,2021SJ00
CR37   ,20180.0,2022SJ00
CR37   ,19980.0,2023SJ00
CR38   ,19000.0,2011SJ00
CR38   ,18410.0,2012SJ00
CR38   ,17870.0,2013SJ00
CR38   ,17390.0,2014SJ00
CR38   ,17080.0,2015SJ00
CR38   ,16830.0,2016SJ00
CR38   ,16650.0,2017SJ00
CR38   ,16530.0,2018SJ00
CR38   ,16400.0,2019SJ00
CR38   ,16240.0,2020SJ00
CR38   ,16080.0,2021SJ00
CR38   ,16080.0,2022SJ00
CR38   ,15940.0,2023SJ00
CR39   ,42820.0,2011SJ00
CR39   ,41450.0,2012SJ00
CR39   ,40180.0,2013SJ00
CR39   ,39150.0,2014SJ00
CR39   ,38650.0,2015SJ00
CR39   ,37830.0,2016SJ00
CR39   ,37300.0,2017SJ00
CR39   ,37100.0,2018SJ00
CR39   ,36940.0,2019SJ00
CR39   ,36770.0,2020SJ00
CR39   ,36420.0,2021SJ00
CR39   ,36610.0,2022SJ00
CR39   ,36480.0,2023SJ00
CR40   ,44880.0,2011SJ00
CR40   ,44470.0,2012SJ00
CR40   ,43770.0,2013SJ00
CR40   ,43210.0,2014SJ00
CR40   ,42710.0,2015SJ00
CR40   ,42190.0,2016SJ00
CR40   ,41790.0,2017SJ00
CR40   ,41430.0,2018SJ00
CR40   ,41420.0,2019SJ00
CR40   ,41540.0,2020SJ00
CR40   ,41180.0,2021SJ00
CR40   ,41340.0,2022SJ00
CR40   ,41260.0,2023SJ00
CR99   ,3750.0,2011SJ00
CR99   ,3820.0,2012SJ00
