RegioS,MannenEnVrouwen_4,Perioden
CR03  ,8.9,2002JJ00
CR03  ,8.9,2003JJ00
CR03  ,8.6,2004JJ00
CR03  ,8.3,2005JJ00
CR03  ,8.4,2006JJ00
CR03  ,7.8,2007JJ00
CR03  ,8.2,2008JJ00
CR03  ,8.2,2009JJ00
CR03  ,8.1,2010JJ00
CR03  ,8.0,2011JJ00
CR03  ,8.4,2012JJ00
CR03  ,8.0,2013JJ00
CR03  ,8.1,2014JJ00
CR03  ,8.3,2015JJ00
CR03  ,8.3,2016JJ00
CR03  ,8.6,2017JJ00
CR03  ,8.4,2018JJ00
CR03  ,8.3,2019JJ00
CR03  ,8.6,2020JJ00
CR03  ,9.0,2021JJ00
CR03  ,9.3,2022JJ00
CR03  ,9.0,2023JJ00
CR04  ,9.6,1988JJ00
CR04  ,9.3,1989JJ00
CR04  ,9.3,1990JJ00
CR04  ,9.0,1991JJ00
CR04  ,8.8,1992JJ00
CR04  ,9.7,1993JJ00
CR04  ,9.2,1994JJ00
CR04  ,9.5,1995JJ00
CR04  ,9.7,1996JJ00
CR04  ,9.1,1997JJ00
CR04  ,9.2,1998JJ00
CR04  ,9.2,1999JJ00
CR04  ,9.3,2000JJ00
CR04  ,9.2,2001JJ00
CR04  ,9.2,2002JJ00
CR04  ,8.9,2003JJ00
CR04  ,8.8,2004JJ00
CR04  ,8.3,2005JJ00
CR04  ,8.9,2006JJ00
CR04  ,8.1,2007JJ00
CR04  ,8.2,2008JJ00
CR04  ,8.6,2009JJ00
CR04  ,8.6,2010JJ00
CR04  ,8.4,2011JJ00
CR04  ,9.0,2012JJ00
CR04  ,8.9,2013JJ00
CR04  ,8.8,2014JJ00
CR04  ,9.1,2015JJ00
CR04  ,9.4,2016JJ00
CR04  ,9.7,2017JJ00
CR04  ,9.7,2018JJ00
CR04  ,9.5,2019JJ00
CR04  ,9.6,2020JJ00
CR04  ,11.0,2021JJ00
CR04  ,10.4,2022JJ00
CR04  ,10.1,2023JJ00
CR05  ,9.2,1988JJ00
CR05  ,9.3,1989JJ00
CR05  ,9.7,1990JJ00
CR05  ,9.3,1991JJ00
CR05  ,8.8,1992JJ00
CR05  ,9.3,1993JJ00
CR05  ,9.0,1994JJ00
CR05  ,9.7,1995JJ00
CR05  ,9.8,1996JJ00
CR05  ,8.9,1997JJ00
CR05  ,9.8,1998JJ00
CR05  ,9.2,1999JJ00
CR05  ,8.7,2000JJ00
CR05  ,9.3,2001JJ00
CR05  ,9.5,2002JJ00
CR05  ,9.1,2003JJ00
CR05  ,8.7,2004JJ00
CR05  ,8.9,2005JJ00
CR05  ,9.2,2006JJ00
CR05  ,8.7,2007JJ00
CR05  ,9.3,2008JJ00
CR05  ,8.4,2009JJ00
CR05  ,8.3,2010JJ00
CR05  ,8.1,2011JJ00
CR05  ,9.3,2012JJ00
CR05  ,9.8,2013JJ00
CR05  ,8.6,2014JJ00
CR05  ,9.4,2015JJ00
CR05  ,9.3,2016JJ00
CR05  ,9.0,2017JJ00
CR05  ,10.0,2018JJ00
