RegioS,WerkzameBeroepsbevolking_3,Perioden
CR37  ,158.0,2023JJ00
CR38  ,118.0,2013JJ00
CR38  ,116.0,2014JJ00
CR38  ,117.0,2015JJ00
CR38  ,117.0,2016JJ00
CR38  ,119.0,2017JJ00
CR38  ,121.0,2018JJ00
CR38  ,123.0,2019JJ00
CR38  ,122.0,2020JJ00
CR38  ,123.0,2021JJ00
CR38  ,124.0,2022JJ00
CR38  ,126.0,2023JJ00
CR39  ,287.0,2013JJ00
CR39  ,283.0,2014JJ00
CR39  ,286.0,2015JJ00
CR39  ,287.0,2016JJ00
CR39  ,288.0,2017JJ00
CR39  ,293.0,2018JJ00
CR39  ,295.0,2019JJ00
CR39  ,290.0,2020JJ00
CR39  ,293.0,2021JJ00
CR39  ,295.0,2022JJ00
CR39  ,300.0,2023JJ00
CR40  ,201.0,2013JJ00
CR40  ,197.0,2014JJ00
CR40  ,202.0,2015JJ00
CR40  ,206.0,2016JJ00
CR40  ,211.0,2017JJ00
CR40  ,218.0,2018JJ00
CR40  ,223.0,2019JJ00
CR40  ,226.0,2020JJ00
CR40  ,232.0,2021JJ00
CR40  ,242.0,2022JJ00
CR40  ,248.0,2023JJ00
GM1680,12.0,2013JJ00
GM1680,12.0,2014JJ00
GM1680,12.0,2015JJ00
GM1680,12.0,2016JJ00
GM1680,13.0,2017JJ00
GM1680,13.0,2018JJ00
GM1680,13.0,2019JJ00
GM1680,13.0,2020JJ00
GM1680,13.0,2021JJ00
GM1680,13.0,2022JJ00
GM1680,13.0,2023JJ00
GM0358,16.0,2013JJ00
GM0358,16.0,2014JJ00
GM0358,16.0,2015JJ00
GM0358,16.0,2016JJ00
GM0358,17.0,2017JJ00
GM0358,17.0,2018JJ00
GM0358,17.0,2019JJ00
GM0358,17.0,2020JJ00
GM0358,18.0,2021JJ00
GM0358,19.0,2022JJ00
GM0358,19.0,2023JJ00
GM0197,14.0,2013JJ00
GM0197,13.0,2014JJ00
GM0197,14.0,2015JJ00
GM0197,13.0,2016JJ00
GM0197,14.0,2017JJ00
GM0197,14.0,2018JJ00
GM0197,14.0,2019JJ00
GM0197,14.0,2020JJ00
GM0197,14.0,2021JJ00
GM0197,15.0,2022JJ00
GM0197,15.0,2023JJ00
GM0059,14.0,2013JJ00
GM0059,13.0,2014JJ00
GM0059,13.0,2015JJ00
GM0059,14.0,2016JJ00
GM0059,14.0,2017JJ00
GM0059,14.0,2018JJ00
GM0059,15.0,2019JJ00
GM0059,14.0,2020JJ00
GM0059,14.0,2021JJ00
GM0059,15.0,2022JJ00
GM0059,15.0,2023JJ00
GM0482,10.0,2013JJ00
GM0482,10.0,2014JJ00
GM0482,10.0,2015JJ00
GM0482,10.0,2016JJ00
