RegioS,Werkloosheidspercentage_13,Perioden
GM1723,6.0,2014JJ00
GM1723,6.0,2015JJ00
GM1723,5.4,2016JJ00
GM1723,4.7,2017JJ00
GM1723,3.9,2018JJ00
GM1723,3.6,2019JJ00
GM1723,3.7,2020JJ00
GM1723,2.9,2021JJ00
GM1723,2.5,2022JJ00
GM1723,2.6,2023JJ00
GM1959,6.3,2013JJ00
GM1959,6.6,2014JJ00
GM1959,6.4,2015JJ00
GM1959,5.5,2016JJ00
GM1959,4.6,2017JJ00
GM1959,3.8,2018JJ00
GM1959,3.4,2019JJ00
GM1959,3.6,2020JJ00
GM1959,2.8,2021JJ00
GM1959,2.6,2022JJ00
GM1959,2.6,2023JJ00
GM0060,6.7,2013JJ00
GM0060,6.5,2014JJ00
GM0060,6.3,2015JJ00
GM0060,5.8,2016JJ00
GM0060,4.8,2017JJ00
GM0060,3.7,2018JJ00
GM0060,3.4,2019JJ00
GM0060,4.3,2020JJ00
GM0060,3.4,2021JJ00
GM0060,2.9,2022JJ00
GM0060,2.9,2023JJ00
GM0307,7.3,2013JJ00
GM0307,7.7,2014JJ00
GM0307,7.9,2015JJ00
GM0307,6.1,2016JJ00
GM0307,5.4,2017JJ00
GM0307,4.4,2018JJ00
GM0307,4.0,2019JJ00
GM0307,4.4,2020JJ00
GM0307,4.4,2021JJ00
GM0307,3.3,2022JJ00
GM0307,3.6,2023JJ00
GM0362,8.3,2013JJ00
GM0362,7.9,2014JJ00
GM0362,7.3,2015JJ00
GM0362,6.6,2016JJ00
GM0362,5.6,2017JJ00
GM0362,5.1,2018JJ00
GM0362,4.5,2019JJ00
GM0362,5.2,2020JJ00
GM0362,5.0,2021JJ00
GM0362,3.9,2022JJ00
GM0362,4.1,2023JJ00
GM0363,9.9,2013JJ00
GM0363,9.4,2014JJ00
GM0363,8.7,2015JJ00
GM0363,7.6,2016JJ00
GM0363,6.7,2017JJ00
GM0363,5.9,2018JJ00
GM0363,5.3,2019JJ00
GM0363,6.4,2020JJ00
GM0363,6.6,2021JJ00
GM0363,4.7,2022JJ00
GM0363,5.0,2023JJ00
GM0200,7.4,2013JJ00
GM0200,7.9,2014JJ00
GM0200,7.3,2015JJ00
GM0200,6.9,2016JJ00
GM0200,5.6,2017JJ00
GM0200,4.9,2018JJ00
GM0200,4.1,2019JJ00
GM0200,4.7,2020JJ00
GM0200,3.5,2021JJ00
GM0200,3.5,2022JJ00
GM0200,3.3,2023JJ00
GM0202,9.5,2013JJ00
GM0202,10.8,2014JJ00
GM0202,10.1,2015JJ00
GM0202,8.3,2016JJ00
GM0202,7.1,2017JJ00
GM0202,5.7,2018JJ00
GM0202,5.3,2019JJ00
GM0202,5.5,2020JJ00
GM0202,5.9,2021JJ00
GM0202,4.5,2022JJ00
GM0202,4.0,2023JJ00
GM0106,8.3,2013JJ00
GM0106,8.5,2014JJ00
GM0106,8.8,2015JJ00
