Regiokenmerken,VoortijdigSchoolverlaters_2,Perioden
GM0005 ,20.0,2018SJ00
GM0005 ,,2019SJ00
GM0005 ,,2020SJ00
GM0005 ,,2021SJ00
GM0005 ,,2022SJ00
GM0888 ,20.0,2012SJ00
GM0888 ,30.0,2013SJ00
GM0888 ,20.0,2014SJ00
GM0888 ,20.0,2015SJ00
GM0888 ,30.0,2016SJ00
GM0888 ,10.0,2017SJ00
GM0888 ,20.0,2018SJ00
GM0888 ,10.0,2019SJ00
GM0888 ,10.0,2020SJ00
GM0888 ,20.0,2021SJ00
GM0888 ,20.0,2022SJ00
GM1954 ,,2012SJ00
GM1954 ,,2013SJ00
GM1954 ,,2014SJ00
GM1954 ,,2015SJ00
GM1954 ,,2016SJ00
GM1954 ,,2017SJ00
GM1954 ,,2018SJ00
GM1954 ,30.0,2019SJ00
GM1954 ,40.0,2020SJ00
GM1954 ,50.0,2021SJ00
GM1954 ,40.0,2022SJ00
GM0370 ,20.0,2012SJ00
GM0370 ,20.0,2013SJ00
GM0370 ,20.0,2014SJ00
GM0370 ,20.0,2015SJ00
GM0370 ,20.0,2016SJ00
GM0370 ,10.0,2017SJ00
GM0370 ,20.0,2018SJ00
GM0370 ,10.0,2019SJ00
GM0370 ,10.0,2020SJ00
GM0370 ,20.0,2021SJ00
GM0370 ,,2022SJ00
GM0889 ,30.0,2012SJ00
GM0889 ,20.0,2013SJ00
GM0889 ,20.0,2014SJ00
GM0889 ,20.0,2015SJ00
GM0889 ,20.0,2016SJ00
GM0889 ,20.0,2017SJ00
GM0889 ,20.0,2018SJ00
GM0889 ,20.0,2019SJ00
GM0889 ,20.0,2020SJ00
GM0889 ,20.0,2021SJ00
GM0889 ,30.0,2022SJ00
GM0007 ,10.0,2012SJ00
GM0007 ,10.0,2013SJ00
GM0007 ,10.0,2014SJ00
GM0007 ,10.0,2015SJ00
GM0007 ,10.0,2016SJ00
GM0007 ,20.0,2017SJ00
GM0007 ,,2018SJ00
GM0007 ,,2019SJ00
GM0007 ,,2020SJ00
GM0007 ,,2021SJ00
GM0007 ,,2022SJ00
GM1945 ,,2012SJ00
GM1945 ,,2013SJ00
GM1945 ,,2014SJ00
GM1945 ,,2015SJ00
GM1945 ,40.0,2016SJ00
GM1945 ,50.0,2017SJ00
GM1945 ,50.0,2018SJ00
GM1945 ,40.0,2019SJ00
GM1945 ,50.0,2020SJ00
GM1945 ,50.0,2021SJ00
GM1945 ,60.0,2022SJ00
GM0491 ,10.0,2012SJ00
GM0491 ,10.0,2013SJ00
GM0491 ,20.0,2014SJ00
GM0491 ,,2015SJ00
GM0491 ,,2016SJ00
GM0491 ,,2017SJ00
GM0491 ,,2018SJ00
GM0491 ,,2019SJ00
GM0491 ,,2020SJ00
GM0491 ,,2021SJ00
GM0491 ,,2022SJ00
GM1724 ,30.0,2012SJ00
GM1724 ,20.0,2013SJ00
GM1724 ,20.0,2014SJ00
GM1724 ,20.0,2015SJ00
GM1724 ,20.0,2016SJ00
GM1724 ,20.0,2017SJ00
GM1724 ,20.0,2018SJ00
GM1724 ,20.0,2019SJ00
GM1724 ,20.0,2020SJ00
GM1724 ,30.0,2021SJ00
GM1724 ,20.0,2022SJ00
GM0893 ,20.0,2012SJ00
GM0893 ,20.0,2013SJ00
GM0893 ,20.0,2014SJ00
GM0893 ,20.0,2015SJ00
GM0893 ,10.0,2016SJ00
GM0893 ,20.0,2017SJ00
GM0893 ,20.0,2018SJ00
GM0893 ,10.0,2019SJ00
GM0893 ,20.0,2020SJ00
GM0893 ,20.0,2021SJ00
GM0893 ,20.0,2022SJ00
GM0373 ,60.0,2012SJ00
GM0373 ,40.0,2013SJ00
GM0373 ,30.0,2014SJ00
GM0373 ,40.0,2015SJ00
GM0373 ,40.0,2016SJ00
GM0373 ,50.0,2017SJ00
GM0373 ,60.0,2018SJ00
GM0373 ,40.0,2019SJ00
GM0373 ,40.0,2020SJ00
GM0373 ,70.0,2021SJ00
GM0373 ,70.0,2022SJ00
GM0748 ,150.0,2012SJ00
GM0748 ,150.0,2013SJ00
GM0748 ,130.0,2014SJ00
GM0748 ,120.0,2015SJ00
GM0748 ,120.0,2016SJ00
GM0748 ,130.0,2017SJ00
GM0748 ,150.0,2018SJ00
GM0748 ,120.0,2019SJ00
GM0748 ,120.0,2020SJ00
GM0748 ,180.0,2021SJ00
GM0748 ,160.0,2022SJ00
GM1859 ,50.0,2012SJ00
GM1859 ,40.0,2013SJ00
GM1859 ,40.0,2014SJ00
GM1859 ,30.0,2015SJ00
GM1859 ,40.0,2016SJ00
GM1859 ,40.0,2017SJ00
GM1859 ,50.0,2018SJ00
GM1859 ,50.0,2019SJ00
GM1859 ,60.0,2020SJ00
GM1859 ,50.0,2021SJ00
GM1859 ,60.0,2022SJ00
GM1721 ,40.0,2012SJ00
GM1721 ,30.0,2013SJ00
GM1721 ,40.0,2014SJ00
GM1721 ,30.0,2015SJ00
GM1721 ,40.0,2016SJ00
GM1721 ,30.0,2017SJ00
GM1721 ,40.0,2018SJ00
GM1721 ,40.0,2019SJ00
GM1721 ,30.0,2020SJ00
GM1721 ,60.0,2021SJ00
GM1721 ,60.0,2022SJ00
GM0568 ,10.0,2012SJ00
GM0568 ,10.0,2013SJ00
GM0568 ,20.0,2014SJ00
GM0568 ,,2015SJ00
GM0568 ,,2016SJ00
GM0568 ,,2017SJ00
GM0568 ,,2018SJ00
GM0568 ,,2019SJ00
GM0568 ,,2020SJ00
GM0568 ,,2021SJ00
GM0568 ,,2022SJ00
GM0753 ,60.0,2012SJ00
GM0753 ,50.0,2013SJ00
GM0753 ,60.0,2014SJ00
GM0753 ,30.0,2015SJ00
GM0753 ,40.0,2016SJ00
GM0753 ,50.0,2017SJ00
GM0753 ,40.0,2018SJ00
GM0753 ,40.0,2019SJ00
GM0753 ,40.0,2020SJ00
GM0753 ,50.0,2021SJ00
GM0753 ,30.0,2022SJ00
GM0209 ,60.0,2012SJ00
GM0209 ,50.0,2013SJ00
GM0209 ,30.0,2014SJ00
GM0209 ,30.0,2015SJ00
GM0209 ,40.0,2016SJ00
GM0209 ,30.0,2017SJ00
GM0209 ,50.0,2018SJ00
GM0209 ,40.0,2019SJ00
GM0209 ,40.0,2020SJ00
GM0209 ,40.0,2021SJ00
GM0209 ,40.0,2022SJ00
GM0375 ,70.0,2012SJ00
GM0375 ,90.0,2013SJ00
GM0375 ,90.0,2014SJ00
GM0375 ,70.0,2015SJ00
GM0375 ,90.0,2016SJ00
GM0375 ,80.0,2017SJ00
GM0375 ,80.0,2018SJ00
GM0375 ,90.0,2019SJ00
GM0375 ,70.0,2020SJ00
GM0375 ,110.0,2021SJ00
GM0375 ,70.0,2022SJ00
GM0063 ,10.0,2012SJ00
GM0063 ,10.0,2013SJ00
GM0063 ,10.0,2014SJ00
GM0063 ,10.0,2015SJ00
GM0063 ,20.0,2016SJ00
GM0063 ,10.0,2017SJ00
GM0063 ,,2018SJ00
GM0063 ,,2019SJ00
GM0063 ,,2020SJ00
GM0063 ,,2021SJ00
GM0063 ,,2022SJ00
GM0310 ,90.0,2012SJ00
GM0310 ,70.0,2013SJ00
GM0310 ,60.0,2014SJ00
GM0310 ,80.0,2015SJ00
GM0310 ,70.0,2016SJ00
GM0310 ,80.0,2017SJ00
