ID,Value,Year
CR09,12.4,1990
CR09,11.7,1991
CR09,11.9,1992
CR09,12.3,1993
CR09,12.1,1994
CR09,11.7,1995
CR09,12.3,1996
CR09,11.9,1997
CR09,12.6,1998
CR09,12.9,1999
CR09,13.3,2000
CR09,12.9,2001
CR09,12.4,2002
CR09,11.9,2003
CR09,12.0,2004
CR09,11.1,2005
CR09,10.7,2006
CR09,10.7,2007
CR09,10.7,2008
CR09,11.1,2009
CR09,10.6,2010
CR09,10.2,2011
CR09,9.6,2012
CR09,9.2,2013
CR09,9.6,2014
CR09,9.1,2015
CR09,9.1,2016
CR09,9.3,2017
CR09,8.4,2018
CR09,8.9,2019
CR09,8.7,2020
CR09,9.5,2021
CR09,8.1,2022
CR10,14.1,1988
CR10,14.0,1989
CR10,14.7,1990
CR10,14.3,1991
CR10,14.4,1992
CR10,14.1,1993
CR10,13.8,1994
CR10,13.3,1995
CR10,13.0,1996
CR10,13.2,1997
CR10,13.9,1998
CR10,14.0,1999
CR10,14.6,2000
CR10,14.3,2001
CR10,14.3,2002
CR10,14.4,2003
CR10,13.5,2004
CR10,13.6,2005
CR10,13.2,2006
CR10,12.8,2007
CR10,12.9,2008
CR10,13.0,2009
CR10,12.7,2010
CR10,12.4,2011
CR10,12.4,2012
CR10,12.0,2013
CR10,12.0,2014
CR10,11.6,2015
CR10,11.6,2016
CR10,11.1,2017
CR10,11.0,2018
CR10,11.0,2019
CR10,10.9,2020
CR10,11.2,2021
CR10,10.8,2022
CR11,12.6,1988
CR11,12.7,1989
CR11,13.7,1990
CR11,13.0,1991
CR11,13.8,1992
CR11,13.5,1993
CR11,13.4,1994
CR11,12.5,1995
CR11,12.5,1996
CR11,13.4,1997
CR11,12.8,1998
CR11,13.4,1999
CR11,13.7,2000
CR11,12.9,2001
CR11,13.9,2002
CR11,13.3,2003
CR11,12.6,2004
CR11,12.2,2005
CR11,11.6,2006
CR11,12.0,2007
CR11,11.9,2008
CR11,11.5,2009
CR11,11.5,2010
CR11,10.7,2011
CR11,10.8,2012
CR11,10.2,2013
CR11,10.3,2014
CR11,9.5,2015
CR11,10.1,2016
CR11,9.6,2017
CR11,9.6,2018
CR11,9.3,2019
CR11,9.5,2020
CR11,9.6,2021
CR11,9.6,2022
CR12,12.6,1988
CR12,12.9,1989
CR12,13.0,1990
CR12,12.8,1991
CR12,12.8,1992
CR12,12.8,1993
CR12,12.9,1994
CR12,12.2,1995
CR12,12.4,1996
CR12,12.3,1997
CR12,12.9,1998
CR12,12.8,1999
CR12,13.3,2000
CR12,12.9,2001
CR12,12.7,2002
CR12,13.0,2003
CR12,12.3,2004
CR12,12.0,2005
CR12,11.9,2006
CR12,11.5,2007
CR12,11.4,2008
CR12,11.1,2009
CR12,11.0,2010
CR12,10.5,2011
CR12,10.0,2012
CR12,10.0,2013
CR12,9.9,2014
CR12,9.7,2015
CR12,9.4,2016
CR12,9.2,2017
CR12,8.9,2018
CR12,9.0,2019
CR12,8.7,2020
CR12,9.3,2021
CR12,8.9,2022
CR13,13.5,1988
CR13,13.4,1989
CR13,13.8,1990
CR13,13.9,1991
CR13,13.0,1992
CR13,13.2,1993
CR13,13.0,1994
CR13,12.8,1995
CR13,12.5,1996
CR13,12.6,1997
CR13,13.0,1998
CR13,13.0,1999
