RegioS,k_45JaarOfOuder_15,Perioden
PV28  ,51.0,1999JJ00
PV28  ,57.0,2000JJ00
PV28  ,60.0,2001JJ00
PV28  ,60.0,2002JJ00
PV28  ,68.0,2003JJ00
PV28  ,74.0,2004JJ00
PV28  ,61.0,2005JJ00
PV28  ,64.0,2006JJ00
PV28  ,68.0,2007JJ00
PV28  ,72.0,2008JJ00
PV28  ,76.0,2009JJ00
PV28  ,92.0,2010JJ00
PV28  ,93.0,2011JJ00
PV28  ,81.0,2012JJ00
PV28  ,78.0,2013JJ00
PV28  ,127.0,2014JJ00
PV28  ,83.0,2015JJ00
PV28  ,85.0,2016JJ00
PV28  ,141.0,2017JJ00
PV28  ,116.0,2018JJ00
PV28  ,109.0,2019JJ00
PV28  ,104.0,2020JJ00
PV28  ,128.0,2021JJ00
PV28  ,118.0,2022JJ00
PV28  ,136.0,2023JJ00
PV29  ,6.0,1988JJ00
PV29  ,4.0,1989JJ00
PV29  ,7.0,1990JJ00
PV29  ,4.0,1991JJ00
PV29  ,6.0,1992JJ00
PV29  ,6.0,1993JJ00
PV29  ,6.0,1994JJ00
PV29  ,3.0,1995JJ00
PV29  ,2.0,1996JJ00
PV29  ,7.0,1997JJ00
PV29  ,4.0,1998JJ00
PV29  ,11.0,1999JJ00
PV29  ,4.0,2000JJ00
PV29  ,5.0,2001JJ00
PV29  ,5.0,2002JJ00
PV29  ,6.0,2003JJ00
PV29  ,6.0,2004JJ00
PV29  ,4.0,2005JJ00
PV29  ,6.0,2006JJ00
PV29  ,2.0,2007JJ00
PV29  ,4.0,2008JJ00
PV29  ,6.0,2009JJ00
PV29  ,7.0,2010JJ00
PV29  ,9.0,2011JJ00
PV29  ,6.0,2012JJ00
PV29  ,7.0,2013JJ00
PV29  ,9.0,2014JJ00
PV29  ,7.0,2015JJ00
PV29  ,7.0,2016JJ00
PV29  ,10.0,2017JJ00
PV29  ,5.0,2018JJ00
PV29  ,15.0,2019JJ00
PV29  ,9.0,2020JJ00
PV29  ,14.0,2021JJ00
PV29  ,9.0,2022JJ00
PV29  ,12.0,2023JJ00
PV30  ,14.0,1988JJ00
PV30  ,30.0,1989JJ00
PV30  ,33.0,1990JJ00
PV30  ,24.0,1991JJ00
PV30  ,17.0,1992JJ00
PV30  ,21.0,1993JJ00
PV30  ,19.0,1994JJ00
PV30  ,15.0,1995JJ00
PV30  ,18.0,1996JJ00
PV30  ,20.0,1997JJ00
PV30  ,13.0,1998JJ00
PV30  ,17.0,1999JJ00
PV30  ,17.0,2000JJ00
PV30  ,13.0,2001JJ00
PV30  ,20.0,2002JJ00
PV30  ,19.0,2003JJ00
PV30  ,17.0,2004JJ00
PV30  ,15.0,2005JJ00
PV30  ,29.0,2006JJ00
PV30  ,24.0,2007JJ00
PV30  ,24.0,2008JJ00
PV30  ,22.0,2009JJ00
PV30  ,30.0,2010JJ00
PV30  ,27.0,2011JJ00
PV30  ,35.0,2012JJ00
PV30  ,28.0,2013JJ00
PV30  ,35.0,2014JJ00
PV30  ,37.0,2015JJ00
PV30  ,55.0,2016JJ00
PV30  ,46.0,2017JJ00
PV30  ,48.0,2018JJ00
PV30  ,61.0,2019JJ00
PV30  ,43.0,2020JJ00
PV30  ,49.0,2021JJ00
PV30  ,60.0,2022JJ00
PV30  ,58.0,2023JJ00
PV31  ,12.0,1988JJ00
PV31  ,7.0,1989JJ00
PV31  ,10.0,1990JJ00
PV31  ,4.0,1991JJ00
PV31  ,9.0,1992JJ00
PV31  ,8.0,1993JJ00
PV31  ,9.0,1994JJ00
PV31  ,4.0,1995JJ00
PV31  ,8.0,1996JJ00
PV31  ,6.0,1997JJ00
PV31  ,7.0,1998JJ00
PV31  ,5.0,1999JJ00
PV31  ,4.0,2000JJ00
PV31  ,5.0,2001JJ00
PV31  ,10.0,2002JJ00
PV31  ,6.0,2003JJ00
PV31  ,8.0,2004JJ00
PV31  ,9.0,2005JJ00
PV31  ,13.0,2006JJ00
PV31  ,11.0,2007JJ00
PV31  ,12.0,2008JJ00
PV31  ,11.0,2009JJ00
PV31  ,15.0,2010JJ00
PV31  ,15.0,2011JJ00
PV31  ,14.0,2012JJ00
PV31  ,11.0,2013JJ00
PV31  ,16.0,2014JJ00
PV31  ,12.0,2015JJ00
PV31  ,19.0,2016JJ00
PV31  ,15.0,2017JJ00
PV31  ,20.0,2018JJ00
PV31  ,17.0,2019JJ00
PV31  ,17.0,2020JJ00
PV31  ,23.0,2021JJ00
PV31  ,8.0,2022JJ00
PV31  ,17.0,2023JJ00
CR01  ,0.0,1988JJ00
CR01  ,0.0,1989JJ00
CR01  ,0.0,1990JJ00
CR01  ,2.0,1991JJ00
CR01  ,1.0,1992JJ00
CR01  ,1.0,1993JJ00
CR01  ,1.0,1994JJ00
CR01  ,0.0,1995JJ00
CR01  ,2.0,1996JJ00
CR01  ,0.0,1997JJ00
CR01  ,0.0,1998JJ00
CR01  ,1.0,1999JJ00
CR01  ,0.0,2000JJ00
CR01  ,0.0,2001JJ00
CR01  ,0.0,2002JJ00
CR01  ,2.0,2003JJ00
CR01  ,2.0,2004JJ00
CR01  ,3.0,2005JJ00
CR01  ,1.0,2006JJ00
CR01  ,0.0,2007JJ00
CR01  ,0.0,2008JJ00
