RegioS,k_40Tot45Jaar_14,Perioden
PV29  ,136.0,2020JJ00
PV29  ,136.0,2021JJ00
PV29  ,128.0,2022JJ00
PV29  ,119.0,2023JJ00
PV30  ,206.0,1988JJ00
PV30  ,268.0,1989JJ00
PV30  ,297.0,1990JJ00
PV30  ,331.0,1991JJ00
PV30  ,326.0,1992JJ00
PV30  ,341.0,1993JJ00
PV30  ,343.0,1994JJ00
PV30  ,387.0,1995JJ00
PV30  ,393.0,1996JJ00
PV30  ,433.0,1997JJ00
PV30  ,475.0,1998JJ00
PV30  ,525.0,1999JJ00
PV30  ,559.0,2000JJ00
PV30  ,603.0,2001JJ00
PV30  ,612.0,2002JJ00
PV30  ,632.0,2003JJ00
PV30  ,667.0,2004JJ00
PV30  ,683.0,2005JJ00
PV30  ,730.0,2006JJ00
PV30  ,741.0,2007JJ00
PV30  ,741.0,2008JJ00
PV30  ,804.0,2009JJ00
PV30  ,837.0,2010JJ00
PV30  ,784.0,2011JJ00
PV30  ,773.0,2012JJ00
PV30  ,698.0,2013JJ00
PV30  ,822.0,2014JJ00
PV30  ,759.0,2015JJ00
PV30  ,766.0,2016JJ00
PV30  ,722.0,2017JJ00
PV30  ,831.0,2018JJ00
PV30  ,812.0,2019JJ00
PV30  ,863.0,2020JJ00
PV30  ,975.0,2021JJ00
PV30  ,891.0,2022JJ00
PV30  ,840.0,2023JJ00
PV31  ,104.0,1988JJ00
PV31  ,98.0,1989JJ00
PV31  ,114.0,1990JJ00
PV31  ,149.0,1991JJ00
PV31  ,167.0,1992JJ00
PV31  ,171.0,1993JJ00
PV31  ,140.0,1994JJ00
PV31  ,162.0,1995JJ00
PV31  ,166.0,1996JJ00
PV31  ,169.0,1997JJ00
PV31  ,206.0,1998JJ00
PV31  ,195.0,1999JJ00
PV31  ,243.0,2000JJ00
PV31  ,280.0,2001JJ00
PV31  ,272.0,2002JJ00
PV31  ,290.0,2003JJ00
PV31  ,275.0,2004JJ00
PV31  ,274.0,2005JJ00
PV31  ,274.0,2006JJ00
PV31  ,279.0,2007JJ00
PV31  ,271.0,2008JJ00
PV31  ,272.0,2009JJ00
PV31  ,319.0,2010JJ00
PV31  ,301.0,2011JJ00
PV31  ,302.0,2012JJ00
PV31  ,297.0,2013JJ00
PV31  ,249.0,2014JJ00
PV31  ,226.0,2015JJ00
PV31  ,288.0,2016JJ00
PV31  ,270.0,2017JJ00
PV31  ,314.0,2018JJ00
PV31  ,301.0,2019JJ00
PV31  ,318.0,2020JJ00
PV31  ,317.0,2021JJ00
PV31  ,344.0,2022JJ00
PV31  ,330.0,2023JJ00
CR01  ,10.0,1988JJ00
CR01  ,22.0,1989JJ00
CR01  ,8.0,1990JJ00
CR01  ,14.0,1991JJ00
CR01  ,20.0,1992JJ00
CR01  ,10.0,1993JJ00
CR01  ,12.0,1994JJ00
CR01  ,27.0,1995JJ00
CR01  ,25.0,1996JJ00
CR01  ,29.0,1997JJ00
CR01  ,25.0,1998JJ00
CR01  ,31.0,1999JJ00
CR01  ,23.0,2000JJ00
CR01  ,31.0,2001JJ00
CR01  ,26.0,2002JJ00
CR01  ,32.0,2003JJ00
CR01  ,45.0,2004JJ00
CR01  ,34.0,2005JJ00
CR01  ,36.0,2006JJ00
CR01  ,34.0,2007JJ00
CR01  ,42.0,2008JJ00
CR01  ,39.0,2009JJ00
CR01  ,39.0,2010JJ00
CR01  ,38.0,2011JJ00
CR01  ,37.0,2012JJ00
CR01  ,32.0,2013JJ00
CR01  ,32.0,2014JJ00
CR01  ,44.0,2015JJ00
CR01  ,32.0,2016JJ00
CR01  ,38.0,2017JJ00
CR01  ,31.0,2018JJ00
CR01  ,23.0,2019JJ00
CR01  ,37.0,2020JJ00
CR01  ,29.0,2021JJ00
CR01  ,39.0,2022JJ00
CR01  ,38.0,2023JJ00
CR02  ,5.0,1988JJ00
CR02  ,6.0,1989JJ00
CR02  ,7.0,1990JJ00
CR02  ,6.0,1991JJ00
CR02  ,10.0,1992JJ00
CR02  ,10.0,1993JJ00
CR02  ,15.0,1994JJ00
CR02  ,14.0,1995JJ00
CR02  ,8.0,1996JJ00
CR02  ,13.0,1997JJ00
CR02  ,16.0,1998JJ00
CR02  ,13.0,1999JJ00
CR02  ,12.0,2000JJ00
CR02  ,14.0,2001JJ00
CR02  ,11.0,2002JJ00
CR02  ,15.0,2003JJ00
CR02  ,16.0,2004JJ00
CR02  ,10.0,2005JJ00
CR02  ,13.0,2006JJ00
CR02  ,10.0,2007JJ00
CR02  ,12.0,2008JJ00
CR02  ,14.0,2009JJ00
CR02  ,11.0,2010JJ00
CR02  ,10.0,2011JJ00
CR02  ,10.0,2012JJ00
CR02  ,11.0,2013JJ00
CR02  ,13.0,2014JJ00
CR02  ,16.0,2015JJ00
CR02  ,11.0,2016JJ00
CR02  ,10.0,2017JJ00
CR02  ,9.0,2018JJ00
CR02  ,17.0,2019JJ00
CR02  ,17.0,2020JJ00
CR02  ,9.0,2021JJ00
CR02  ,8.0,2022JJ00
CR02  ,22.0,2023JJ00
CR03  ,67.0,1988JJ00
CR03  ,60.0,1989JJ00
CR03  ,71.0,1990JJ00
CR03  ,72.0,1991JJ00
CR03  ,81.0,1992JJ00
CR03  ,89.0,1993JJ00
CR03  ,93.0,1994JJ00
CR03  ,115.0,1995JJ00
CR03  ,89.0,1996JJ00
CR03  ,97.0,1997JJ00
CR03  ,110.0,1998JJ00
CR03  ,135.0,1999JJ00
CR03  ,119.0,2000JJ00
CR03  ,136.0,2001JJ00
CR03  ,148.0,2002JJ00
CR03  ,129.0,2003JJ00
CR03  ,158.0,2004JJ00
CR03  ,152.0,2005JJ00
CR03  ,133.0,2006JJ00
CR03  ,156.0,2007JJ00
CR03  ,144.0,2008JJ00
CR03  ,178.0,2009JJ00
CR03  ,152.0,2010JJ00
CR03  ,180.0,2011JJ00
CR03  ,164.0,2012JJ00
CR03  ,145.0,2013JJ00
CR03  ,151.0,2014JJ00
CR03  ,146.0,2015JJ00
CR03  ,150.0,2016JJ00
CR03  ,122.0,2017JJ00
CR03  ,122.0,2018JJ00
CR03  ,143.0,2019JJ00
CR03  ,150.0,2020JJ00
CR03  ,164.0,2021JJ00
CR03  ,169.0,2022JJ00
CR03  ,148.0,2023JJ00
CR04  ,40.0,1988JJ00
CR04  ,35.0,1989JJ00
CR04  ,31.0,1990JJ00
CR04  ,45.0,1991JJ00
CR04  ,51.0,1992JJ00
CR04  ,53.0,1993JJ00
CR04  ,59.0,1994JJ00
CR04  ,81.0,1995JJ00
CR04  ,59.0,1996JJ00
CR04  ,70.0,1997JJ00
CR04  ,73.0,1998JJ00
CR04  ,95.0,1999JJ00
CR04  ,75.0,2000JJ00
CR04  ,85.0,2001JJ00
CR04  ,100.0,2002JJ00
CR04  ,90.0,2003JJ00
CR04  ,101.0,2004JJ00
CR04  ,114.0,2005JJ00
CR04  ,99.0,2006JJ00
CR04  ,101.0,2007JJ00
CR04  ,119.0,2008JJ00
CR04  ,115.0,2009JJ00
CR04  ,122.0,2010JJ00
CR04  ,122.0,2011JJ00
CR04  ,119.0,2012JJ00
CR04  ,95.0,2013JJ00
CR04  ,107.0,2014JJ00
CR04  ,94.0,2015JJ00
CR04  ,94.0,2016JJ00
CR04  ,97.0,2017JJ00
CR04  ,86.0,2018JJ00
CR04  ,98.0,2019JJ00
CR04  ,103.0,2020JJ00
CR04  ,93.0,2021JJ00
CR04  ,102.0,2022JJ00
CR04  ,114.0,2023JJ00
CR05  ,15.0,1988JJ00
CR05  ,22.0,1989JJ00
CR05  ,12.0,1990JJ00
CR05  ,16.0,1991JJ00
CR05  ,16.0,1992JJ00
CR05  ,21.0,1993JJ00
CR05  ,17.0,1994JJ00
CR05  ,25.0,1995JJ00
CR05  ,16.0,1996JJ00
CR05  ,27.0,1997JJ00
CR05  ,20.0,1998JJ00
CR05  ,15.0,1999JJ00
CR05  ,34.0,2000JJ00
CR05  ,24.0,2001JJ00
CR05  ,30.0,2002JJ00
CR05  ,36.0,2003JJ00
CR05  ,39.0,2004JJ00
CR05  ,28.0,2005JJ00
CR05  ,36.0,2006JJ00
CR05  ,33.0,2007JJ00
CR05  ,37.0,2008JJ00
CR05  ,48.0,2009JJ00
CR05  ,42.0,2010JJ00
CR05  ,46.0,2011JJ00
CR05  ,31.0,2012JJ00
CR05  ,34.0,2013JJ00
CR05  ,29.0,2014JJ00
CR05  ,39.0,2015JJ00
CR05  ,48.0,2016JJ00
CR05  ,37.0,2017JJ00
CR05  ,39.0,2018JJ00
CR05  ,44.0,2019JJ00
CR05  ,42.0,2020JJ00
CR05  ,36.0,2021JJ00
CR05  ,44.0,2022JJ00
CR05  ,32.0,2023JJ00
CR06  ,19.0,1988JJ00
CR06  ,35.0,1989JJ00
CR06  ,21.0,1990JJ00
CR06  ,26.0,1991JJ00
CR06  ,32.0,1992JJ00
CR06  ,44.0,1993JJ00
CR06  ,43.0,1994JJ00
CR06  ,41.0,1995JJ00
CR06  ,39.0,1996JJ00
CR06  ,40.0,1997JJ00
CR06  ,41.0,1998JJ00
CR06  ,59.0,1999JJ00
CR06  ,48.0,2000JJ00
CR06  ,59.0,2001JJ00
